Word,Count
monkey,4
deeper,2
higher,2
sexy,15
sadie,15
broke,4
laid,2
greatest,3
wawwawwawwawwawwawwaaaaw,1
wawwawwawwawwawwawwawwawwawwawwawwawwaw,1
wawwawwawwawwawwawwawwawwawwawwawwawwawwaaaw,1
wawwawwawwawwawwawwawwawwawwawwawwawwawwaw,1
owned,1
lighten,1
latest,1
bottom,4
slide,2
fast,5
aaaaah,1
aaaaaaaaah,4
dancer,4
dancerdancerdancerdancerdancerdancerdancerdancerdancerdancer,3
helterskelter,10
helter,1
skelter,1
blisters,1
fingers,2
revolution,2
evolution,2
destruction,2
count,2
solution,2
plan,2
contribution,2
minds,2
brother,4
constitution,2
institution,2
carrying,1
pictures,5
chairman,2
mao,2
anyhow,2
north,1
england,1
usa,1
position,1
tragic,1
magic,3
hollywood,2
became,1
legend,1
silver,9
weak,1
frantic,1
sail,3
atlantic,1
blues,1
blew,1
kindly,1
sailing,1
tee,3
king,7
marigold,1
cooking,1
breakfast,1
parlour,1
playing,2
piano,1
picking,1
playroom,1
childrens,1
holiday,1
duchess,1
kircaldy,1
smiling,1
arriving,2
duke,1
problems,1
message,1
bee,1
twelve,1
seance,1
specially,1
lark,1
claret,1
realised,1
forgotten,1
george,1
mmmyes,1
cheeky,1
bitch,1
welsh,1
rarebit,1
brown,3
underpants,1
shortage,1
grain,1
hertfordshire,1
slower,1
manufactured,1
umpteen,1
fathers,1
diddlyidee,1
district,1
intended,1
sustained,1
example,1
whatever,2
deal,1
falls,1
informed,1
third,1
fortune,1
compared,1
wow,3
weird,1
stuff,1
sides,1
floral,1
bark,1
rogue,1
doctors,1
brought,1
specimen,1
nobodys,1
shortcuts,1
aha,1
situation,2
telegram,1
terrors,1
beard,1
false,1
headmaster,1
reported,1
function,1
hive,1
surgeon,1
price,1
underclothes,1
dentist,1
pair,1
teeth,1
marry,1
join,1
navy,1
block,4
kick,4
mood,1
whirling,1
um,1
dogging,1
clapping,1
birding,1
fishing,1
themming,1
whimming,1
nightwatchman,1
unaware,1
presence,1
building,1
soup,1
industrial,1
output,1
financial,1
imbalance,1
thrusting,1
blades,1
watusi,1
el,1
dorado,1
serve,1
exposure,1
difficult,1
quick,1
rush,1
naked,2
become,1
b,1
c,2
e,1
